"index","name","platform","publisher","developer","games_sold","year"
"0","Wii Sports for Wii","Wii","Nintendo","Nintendo EAD","82.9","2006"
"1","Super Mario Bros. for NES","NES","Nintendo","Nintendo EAD","40.24","1985"
"2","Counter-Strike: Global Offensive for PC","PC","Valve","Valve Corporation","40","2012"
"3","Mario Kart Wii for Wii","Wii","Nintendo","Nintendo EAD","37.32","2008"
"4","PLAYERUNKNOWN'S BATTLEGROUNDS for PC","PC","PUBG Corporation","PUBG Corporation","36.6","2017"
"5","Minecraft for PC","PC","Mojang","Mojang AB","33.15","2010"
"6","Wii Sports Resort for Wii","Wii","Nintendo","Nintendo EAD","33.13","2009"
"7","Pokemon Red / Green / Blue Version for GB","GB","Nintendo","Game Freak","31.38","1998"
"8","New Super Mario Bros. for DS","DS","Nintendo","Nintendo EAD","30.8","2006"
"9","New Super Mario Bros. Wii for Wii","Wii","Nintendo","Nintendo EAD","30.3","2009"
